Family-model,Version,Filename,EventType
GenuineIntel-6-97,v1.20,alderlake,core
GenuineIntel-6-9A,v1.20,alderlake,core
GenuineIntel-6-B7,v1.20,alderlake,core
GenuineIntel-6-BA,v1.20,alderlake,core
GenuineIntel-6-BF,v1.20,alderlake,core
GenuineIntel-6-BE,v1.20,alderlaken,core
GenuineIntel-6-1C,v4,bonnell,core
GenuineIntel-6-26,v4,bonnell,core
GenuineIntel-6-27,v4,bonnell,core
GenuineIntel-6-35,v4,bonnell,core
GenuineIntel-6-36,v4,bonnell,core
GenuineIntel-6-3D,v27,broadwell,core
GenuineIntel-6-47,v27,broadwell,core
GenuineIntel-6-56,v9,broadwellde,core
GenuineIntel-6-4F,v20,broadwellx,core
GenuineIntel-6-55-A,v1.17,cascadelakex,core
GenuineIntel-6-55-B,v1.17,cascadelakex,core
GenuineIntel-6-55-C,v1.17,cascadelakex,core
GenuineIntel-6-55-D,v1.17,cascadelakex,core
GenuineIntel-6-55-E,v1.17,cascadelakex,core
GenuineIntel-6-55-F,v1.17,cascadelakex,core
GenuineIntel-6-55-5,v1.17,cascadelakex,core
GenuineIntel-6-55-6,v1.17,cascadelakex,core
GenuineIntel-6-55-7,v1.17,cascadelakex,core
GenuineIntel-6-55-8,v1.17,cascadelakex,core
GenuineIntel-6-55-9,v1.17,cascadelakex,core
GenuineIntel-6-9C,v1.03,elkhartlake,core
GenuineIntel-6-96,v1.03,elkhartlake,core
GenuineIntel-6-5C,v13,goldmont,core
GenuineIntel-6-5F,v13,goldmont,core
GenuineIntel-6-7A,v1.01,goldmontplus,core
GenuineIntel-6-B6,v1.00,grandridge,core
GenuineIntel-6-AD,v1.01,graniterapids,core
GenuineIntel-6-AE,v1.01,graniterapids,core
GenuineIntel-6-3C,v33,haswell,core
GenuineIntel-6-45,v33,haswell,core
GenuineIntel-6-46,v33,haswell,core
GenuineIntel-6-3F,v27,haswellx,core
GenuineIntel-6-7D,v1.17,icelake,core
GenuineIntel-6-7E,v1.17,icelake,core
GenuineIntel-6-A7,v1.17,icelake,core
GenuineIntel-6-6A,v1.20,icelakex,core
GenuineIntel-6-6C,v1.20,icelakex,core
GenuineIntel-6-3A,v24,ivybridge,core
GenuineIntel-6-3E,v23,ivytown,core
GenuineIntel-6-2D,v23,jaketown,core
GenuineIntel-6-57,v10,knightslanding,core
GenuineIntel-6-85,v10,knightslanding,core
GenuineIntel-6-AA,v1.01,meteorlake,core
GenuineIntel-6-AC,v1.01,meteorlake,core
GenuineIntel-6-1A,v3,nehalemep,core
GenuineIntel-6-1E,v3,nehalemep,core
GenuineIntel-6-1F,v3,nehalemep,core
GenuineIntel-6-2E,v3,nehalemex,core
GenuineIntel-6-2A,v19,sandybridge,core
GenuineIntel-6-8F,v1.12,sapphirerapids,core
GenuineIntel-6-CF,v1.12,sapphirerapids,core
GenuineIntel-6-AF,v1.00,sierraforest,core
GenuineIntel-6-37,v15,silvermont,core
GenuineIntel-6-4A,v15,silvermont,core
GenuineIntel-6-4C,v15,silvermont,core
GenuineIntel-6-4D,v15,silvermont,core
GenuineIntel-6-5A,v15,silvermont,core
GenuineIntel-6-4E,v55,skylake,core
GenuineIntel-6-5E,v55,skylake,core
GenuineIntel-6-8E,v55,skylake,core
GenuineIntel-6-9E,v55,skylake,core
GenuineIntel-6-A5,v55,skylake,core
GenuineIntel-6-A6,v55,skylake,core
GenuineIntel-6-55-0,v1.29,skylakex,core
GenuineIntel-6-55-1,v1.29,skylakex,core
GenuineIntel-6-55-2,v1.29,skylakex,core
GenuineIntel-6-55-3,v1.29,skylakex,core
GenuineIntel-6-55-4,v1.29,skylakex,core
GenuineIntel-6-86,v1.20,snowridgex,core
GenuineIntel-6-8C,v1.10,tigerlake,core
GenuineIntel-6-8D,v1.10,tigerlake,core
GenuineIntel-6-2C,v4,westmereep-dp,core
GenuineIntel-6-25,v3,westmereep-sp,core
GenuineIntel-6-2F,v3,westmereex,core
AuthenticAMD-23-([12][0-9A-F]|[0-9A-F]),v2,amdzen1,core
AuthenticAMD-23-[[:xdigit:]]+,v1,amdzen2,core
AuthenticAMD-25-([245][[:xdigit:]]|[[:xdigit:]]),v1,amdzen3,core
AuthenticAMD-25-[[:xdigit:]]+,v1,amdzen4,core
HygonGenuine-24-00,v2,amdzen1,core
